id,prop_id,person_id,forecast
278,38,6,0.9
279,39,6,0.9
280,0,7,0.03
281,1,7,0.2
282,2,7,0.001
283,3,7,0.995
284,4,7,0.9
285,5,7,0.9
286,6,7,0.97
287,7,7,0.95
288,8,7,0.94
289,9,7,0.4
290,10,7,0.3
291,11,7,0.1
292,12,7,0.2
293,13,7,0.07
294,14,7,0.06
295,15,7,0.6
296,16,7,0.3
297,17,7,0.1
298,18,7,0.02
299,19,7,0.5
300,20,7,0.03
301,21,7,0.4
302,22,7,0.7
303,23,7,0.6
304,24,7,0.09
305,25,7,0.2
306,26,7,0.4
307,27,7,0.8
308,28,7,0.5
309,29,7,0.6
310,30,7,0.5
311,31,7,0.7
312,32,7,0.7
313,33,7,0.05
314,34,7,0.06
315,35,7,0.08
316,36,7,0.96
317,37,7,0.4
318,38,7,0.9
319,39,7,0.7
320,0,8,0.01
321,1,8,0.1
322,2,8,0.0001
323,3,8,0.99
324,4,8,0.95
325,5,8,0.99
326,6,8,0.99
327,7,8,0.7
328,8,8,0.7
329,9,8,0.4999
330,10,8,0.35
331,11,8,0.0001
332,12,8,0.15
333,13,8,0.9
334,14,8,0.001
335,15,8,0.45
336,16,8,0.3
337,17,8,0.01
338,18,8,0.01
339,19,8,0.05
340,20,8,0.05
341,21,8,0.9
342,22,8,0.9
343,23,8,0.01
344,24,8,0.2
345,25,8,0.05
346,26,8,0.4
347,27,8,0.99
348,28,8,0.3
349,29,8,0.5
350,30,8,0.2
351,31,8,0.98
352,32,8,0.4
353,33,8,0.02
354,34,8,0.02
355,35,8,0.2
356,36,8,0.9999
357,37,8,0.999
358,38,8,0.999
359,39,8,0.999
360,0,9,0.05
361,1,9,0.2
362,2,9,0.01
363,3,9,0.8
364,4,9,0.7
365,5,9,0.7
366,6,9,0.8
367,7,9,0.95
368,8,9,0.8
369,9,9,0.15
370,10,9,0.5
371,11,9,0.25
372,12,9,0.1
373,13,9,0.03
374,14,9,0.05
375,15,9,0.4
376,16,9,0.6
377,17,9,0.3
378,18,9,0.4
379,19,9,0.15
380,20,9,0.05
381,21,9,0.3
382,22,9,0.6
383,23,9,0.5
384,24,9,0.05
385,25,9,0.5
386,26,9,0.95
387,27,9,0.6
388,28,9,0.6
389,29,9,0.75
390,30,9,0.3
391,31,9,0.6
392,32,9,0.5
393,33,9,0.2
394,34,9,0.2
395,35,9,0.2
396,36,9,0.9
397,37,9,0.95
398,38,9,0.9
399,39,9,0.75
400,0,10,0.65
401,1,10,0.15
402,2,10,0.001
403,3,10,0.85
404,4,10,0.85
405,5,10,0.65
406,6,10,0.85
407,7,10,0.55
408,8,10,0.5
409,9,10,0.2
410,10,10,0.6
411,11,10,0.05
412,12,10,0.1
413,13,10,0.45
414,14,10,0.7
415,15,10,0.52
416,16,10,0.58
417,17,10,0.92
418,18,10,0.3
419,19,10,0.85
420,20,10,0.4
421,21,10,0.35
422,22,10,0.95
423,23,10,0.25
424,24,10,0.08
425,25,10,0.5
426,26,10,0.15
427,27,10,0.75
428,28,10,0.75
429,29,10,0.65
430,30,10,0.4
431,31,10,0.9
432,32,10,0.85
433,33,10,0.8
434,34,10,0.7
435,35,10,0.85
436,36,10,0.9
437,37,10,0.75
438,38,10,0.8
439,39,10,0.5
